user_id,first_name,last_name,email,phone,signup_date,loyalty_status,country
1,Danielle,Johnson,john21@example.net,001-581-896-0013x3890,2024-05-03,silver,Kiribati
2,Bridget,Pacheco,blakeerik@example.com,942-335-1161x55940,2025-10-30,bronze,Honduras
3,Christian,Carter,barbara10@example.net,441.731.6475,2024-08-15,bronze,Cote d'Ivoire
4,Elizabeth,Miles,lynchgeorge@example.net,527.264.8350,2025-07-31,bronze,Germany
5,Richard,Jones,jason76@example.net,724.523.8849x696,2024-02-29,gold,Malawi
6,Trevor,Campos,hernandezernest@example.net,(791)366-9784x80184,2024-06-28,silver,Jordan
7,Eric,Smith,teresa28@example.org,+1-948-293-2528x8095,2024-02-08,gold,Vanuatu
8,Michael,Galloway,john39@example.org,671-882-2782,2024-04-26,bronze,Vanuatu
9,Amber,Blair,jenniferross@example.net,+1-557-587-1331x5098,2023-11-19,silver,Barbados
10,Jean,Brown,whiteheadmichele@example.org,334.373.8299x73763,2025-04-08,bronze,Jersey
11,Michael,Jenkins,nuneztracey@example.org,4658133387,2024-04-04,bronze,Fiji
12,Steven,Baxter,ramosmichelle@example.net,908-501-3267,2025-09-15,silver,Iran
13,Rachel,Martin,gallowayjoseph@example.com,268-272-3430x9805,2025-02-09,bronze,Lesotho
14,Wesley,Farrell,brianromero@example.org,291-336-1939,2024-10-04,bronze,Palestinian Territory
15,Brandy,Mills,james53@example.com,(524)675-1079x9118,2024-02-24,silver,Venezuela
16,Michael,Jones,mikemoore@example.net,001-449-680-8412x411,2024-06-19,silver,Netherlands
17,Jason,Cooper,william40@example.org,+1-264-300-5242x7868,2024-01-11,bronze,Western Sahara
18,Nicole,Mckee,davenportbrandi@example.org,(420)545-0533x15869,2025-09-15,silver,Central African Republic
19,Theresa,Cochran,vjohnson@example.com,(534)221-6073x37543,2025-04-09,gold,Congo
20,Raymond,Ramirez,rasmussenjoshua@example.net,768.750.1429x40196,2024-10-17,bronze,New Caledonia
21,Tracey,Wilson,jonathanfletcher@example.org,783.856.1595x14846,2025-05-08,gold,French Polynesia
22,Angela,Lee,lbyrd@example.net,001-746-980-4436,2024-10-22,silver,Kenya
23,Emma,Dixon,donnacampbell@example.net,+1-395-913-4332x0037,2024-09-30,bronze,Turks and Caicos Islands
24,Crystal,Lee,psnyder@example.org,+1-401-963-2870x8317,2025-04-15,bronze,Marshall Islands
25,Vanessa,Larson,usalazar@example.net,(387)627-7434x87347,2024-05-14,platinum,Faroe Islands
26,Matthew,Orozco,taylorjesse@example.net,(231)566-5876,2025-08-21,bronze,Italy
27,Perry,Carrillo,gateskathy@example.com,805.946.6889x3734,2023-12-06,bronze,Iceland
28,Matthew,Shelton,dramsey@example.org,+1-280-669-9016x272,2024-09-03,bronze,Greece
29,Jason,Murphy,aramirez@example.com,270-580-5310,2024-04-16,gold,Taiwan
30,Andrew,Hernandez,thomaswilson@example.org,645.829.9124x190,2024-09-17,silver,Western Sahara
31,Jennifer,Jones,curtisbarton@example.net,+1-819-905-8651x850,2024-02-03,gold,Jersey
32,Susan,Reid,bzimmerman@example.org,001-684-998-7769x4531,2024-05-21,gold,Sao Tome and Principe
33,Steven,Bishop,frogers@example.com,(273)554-5494,2024-01-19,silver,Dominican Republic
34,Jennifer,Freeman,hannahbrewer@example.com,701.843.6349x578,2025-06-15,platinum,Mexico
35,Mark,Warner,kristopher31@example.net,651.382.3374,2025-08-21,bronze,Congo
36,Kenneth,Ward,alexis82@example.com,6089427109,2024-11-19,silver,Kazakhstan
37,Matthew,Sheppard,shelley71@example.org,(871)590-2294x1318,2025-07-08,gold,Mali
38,Omar,Kerr,michelle64@example.net,+1-309-413-3412x328,2023-11-16,silver,Ireland
39,Shannon,Wheeler,antonio44@example.net,413.349.3618x324,2023-12-30,gold,Chad
